"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","Trinta","Sessenta","Cento_e_vinte"
"178",178,"AFV03","Circuito Mylena","C6","S","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"179",179,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"180",180,"AFV03","Circuito Mylena","C9","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.14285714,12.85714286,11.42857143
"181",181,"AFV04","Estrada Excelsior","C7","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",26.25,21.25,20
"182",182,"AFV04","Estrada Excelsior","C5","N","N",0,0,0,0,"N",NA,NA,"2018-06-14",26.25,21.25,20
"183",183,"AFV04","Estrada Excelsior","C7","N","N",0,0,0,0,"N",NA,NA,"2018-08-01",26.25,21.25,20
"184",184,"AFV04","Estrada Excelsior","C7","N","N",0,0,0,0,"N",NA,NA,"2018-07-02",26.25,21.25,20
"185",185,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N",NA,NA,"2018-06-14",26.25,21.25,20
"186",186,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N",NA,NA,"2018-08-01",26.25,21.25,20
"187",187,"AFV04","Estrada Excelsior","C9","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",26.25,21.25,20
"188",188,"AFV04","Estrada Excelsior","C8","D","S",21,0,0,0,"S",NA,NA,"2018-04-24",26.25,21.25,20
"189",189,"AFV04","Estrada Excelsior","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",26.25,21.25,20
"190",190,"AFV04","Estrada Excelsior","C1","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",26.25,21.25,20
"191",191,"AFV04","Estrada Excelsior","C10","S","N",0,0,0,0,"N",NA,NA,"2018-05-30",26.25,21.25,20
"192",192,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",26.25,21.25,20
"193",193,"AFV04","Estrada Excelsior","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-30",26.25,21.25,20
"194",194,"AFV04","Estrada Excelsior","C7","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",26.25,21.25,20
"195",195,"AFV04","Estrada Excelsior","C7","N","N",0,0,0,0,"N",NA,NA,"2018-06-14",26.25,21.25,20
"196",196,"AFV04","Estrada Excelsior","C2","D","S",21,0,0,0,"N",NA,NA,"2018-08-01",26.25,21.25,20
"197",197,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",26.25,21.25,20
"198",198,"AFV04","Estrada Excelsior","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",26.25,21.25,20
"199",199,"AFV04","Estrada Excelsior","C5","N","N",0,0,0,0,"N",NA,NA,"2018-07-02",26.25,21.25,20
"200",200,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",26.25,21.25,20
"201",201,"AFV04","Estrada Excelsior","C2","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",26.25,21.25,20
"202",202,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",26.25,21.25,20
"203",203,"AFV04","Estrada Excelsior","C6","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",26.25,21.25,20
